Stall,Food,Price,Day availabe 
Stall 1  Fried Hokkien Mee Menu items,Fried beehoon + egg+ vegetables,$2.50,Monday;Friday
Stall 1  Fried Hokkien Mee Menu items,Fried noodles+ egg+vegetables,$2.50,Monday;Friday
Stall 1  Fried Hokkien Mee Menu items,Fried Sliced fish beehoon soup,$3.20,Monday;Friday
Stall 1  Fried Hokkien Mee Menu items,Fried Sliced fish soup with rice,$3.20,Monday;Friday
Stall 1  Fried Hokkien Mee Menu items,Sliced fish beehoon soup ,$3.20,Monday;Friday
Stall 1  Fried Hokkien Mee Menu items,Sliced fish soup with rice,$3.20,Monday;Friday
Stall 1  Fried Hokkien Mee Menu items,Fried kway teow,$2.50,Monday;Friday
Stall 1  Fried Hokkien Mee Menu items,Fried beehoon + egg+ vegetables,$2.50,Tuesday;Thursday
Stall 1  Fried Hokkien Mee Menu items,Fried noodles+egg+vegetables ,$2.50,Tuesday;Thursday
Stall 1  Fried Hokkien Mee Menu items,Laksa,$2.70,Tuesday;Thursday
Stall 1  Fried Hokkien Mee Menu items,Carrot cake,$2.50,Tuesday;Thursday
Stall 1  Fried Hokkien Mee Menu items,Fried beehoon + egg+ vegetables,$2.50,Wednesday
Stall 1  Fried Hokkien Mee Menu items,Fried noodles+egg+vegetables ,$2.50,Wednesday
Stall 1  Fried Hokkien Mee Menu items,Fried Sliced fish beehoon soup,$3.20,Wednesday
Stall 1  Fried Hokkien Mee Menu items,Fried Sliced fish soup with rice,$3.20,Wednesday
Stall 1  Fried Hokkien Mee Menu items,Sliced fish beehoon soup ,$3.20,Wednesday
Stall 1  Fried Hokkien Mee Menu items,Sliced fish soup with rice,$3.20,Wednesday
Stall 1  Fried Hokkien Mee Menu items,Horfun,$2.70,Wednesday
Stall 1  Fried Hokkien Mee Menu items,Laksa,$2.50,Wednesday
Stall 1  Fried Hokkien Mee Menu items,Carrot cake,$2.50,Wednesday
Stall 2 Chicken Rice Menu items,Steamed Chicken Rice,$2.50,Monday
Stall 2 Chicken Rice Menu items,Soya Sauce Chicken Rice,$2.50,Monday
Stall 2 Chicken Rice Menu items,Char Siew Rice,$2.50,Monday
Stall 2 Chicken Rice Menu items,Roasted Pork Rice,$3.00,Monday
Stall 2 Chicken Rice Menu items,Mongolian Sauce Chicken Rice,$3.00,Monday
Stall 2 Chicken Rice Menu items,Thai Sauce Chicken Rice,$3.00,Monday
Stall 2 Chicken Rice Menu items,Lemon Sauce Chicken Rice,$3.00,Monday
Stall 2 Chicken Rice Menu items,'Snowy' Sauce Chicken Rice,$3.00,Monday
Stall 2 Chicken Rice Menu items,Nacho Cheese Chicken Rice,$3.00,Monday
Stall 2 Chicken Rice Menu items,Black Pepper Chicken Rice,$3.00,Monday
Stall 2 Chicken Rice Menu items,Cereal Chicken Rice,$3.00,Monday
Stall 2 Chicken Rice Menu items,Braised Duck Rice,$3.00,Tuesday
Stall 2 Chicken Rice Menu items,Roasted Chicken Rice,$3.00,Wednesday 
Stall 2 Chicken Rice Menu items,Cereal Chicken Rice,$3.00,Wednesday 
Stall 2 Chicken Rice Menu items,Black Pepper Chicken Rice,$3.00,Thursday
Stall 2 Chicken Rice Menu items,Black Pepper Chicken Rice,$3.00,Friday
Stall 2 Chicken Rice Menu items,Roasted Duck Rice,$3.00,Friday
Stall 2 Chicken Rice Menu items,Braised Egg,$0.50,Monday;Tuesday;Wednesday;Thursday;Friday
Stall 2 Chicken Rice Menu items,Bean Curd TouFu,$0.30,Monday;Tuesday;Wednesday;Thursday;Friday
Stall 2 Chicken Rice Menu items,Crouquette,$1.00,Monday;Tuesday;Wednesday;Thursday;Friday
Stall 3 Yong Tau Foo Menu items,Yong Tau Foo 6 pc Rice,$3.00,Monday;Tuesday;Wednesday;Thursday;Friday
